onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_appbos	appbos	7
28.714	22.5	judge_appbos	appbos	7
51.214	2.177	rate_appbos	appbos	7
56.272	29.14	rinse	n/a	n/a
85.439	2	warning_star	n/a	n/a
87.45	7.522	taste_and_swallow_appper	appper	5
94.972	22.5	judge_appper	appper	5
117.472	1.037	rate_appper	appper	5
121.358	29.14	rinse	n/a	n/a
150.524	2	warning_star	n/a	n/a
152.534	7.522	taste_and_swallow_sinman	sinman	6
160.057	22.5	judge_sinman	sinman	6
182.557	1.473	rate_sinman	sinman	6
186.894	29.14	rinse	n/a	n/a
216.028	2	warning_star	n/a	n/a
218.038	7.522	taste_and_swallow_anaman	anaman	6
225.56	22.5	judge_anaman	anaman	6
248.06	1.909	rate_anaman	anaman	6
252.818	25	rinse	n/a	n/a
296.994	2	warning_star	n/a	n/a
299.004	7.522	taste_and_swallow_appper	appper	6
306.527	22.5	judge_appper	appper	6
329.027	1.406	rate_appper	appper	6
333.297	29.14	rinse	n/a	n/a
362.447	2	warning_star	n/a	n/a
364.458	7.522	taste_and_swallow_anaman	anaman	5
371.98	22.5	judge_anaman	anaman	5
394.48	1.239	rate_anaman	anaman	5
398.551	29.14	rinse	n/a	n/a
427.683	2	warning_star	n/a	n/a
429.693	7.522	taste_and_swallow_appbos	appbos	6
437.215	22.5	judge_appbos	appbos	6
459.715	1.557	rate_appbos	appbos	6
464.138	29.14	rinse	n/a	n/a
493.304	2	warning_star	n/a	n/a
495.314	7.522	taste_and_swallow_sinman	sinman	6
502.836	22.5	judge_sinman	sinman	6
525.336	1.607	rate_sinman	sinman	6
529.792	25	rinse	n/a	n/a
573.952	2	warning_star	n/a	n/a
575.962	7.522	taste_and_swallow_sinman	sinman	5
583.484	22.5	judge_sinman	sinman	5
605.984	0.921	rate_sinman	sinman	5
609.77	29.14	rinse	n/a	n/a
638.936	2	warning_star	n/a	n/a
640.947	7.522	taste_and_swallow_appbos	appbos	6
648.469	22.5	judge_appbos	appbos	6
670.969	2.21	rate_appbos	appbos	6
676.045	29.14	rinse	n/a	n/a
705.194	2	warning_star	n/a	n/a
707.204	7.522	taste_and_swallow_anaman	anaman	5
714.726	22.5	judge_anaman	anaman	5
737.226	0.988	rate_anaman	anaman	5
741.062	29.14	rinse	n/a	n/a
770.228	2	warning_star	n/a	n/a
772.239	7.522	taste_and_swallow_appper	appper	6
779.761	22.5	judge_appper	appper	6
802.261	1.59	rate_appper	appper	6
806.683	25	rinse	n/a	n/a
