onset	duration	stimulus	product	pleasantness
19.198	2	warning_star	n/a	n/a
21.209	7.522	taste_and_swallow_sinman	sinman	3
28.732	22.5	judge_sinman	sinman	3
51.232	2.075	rate_sinman	sinman	3
56.172	29.14	rinse	n/a	n/a
85.322	2	warning_star	n/a	n/a
87.332	7.522	taste_and_swallow_appbos	appbos	2
94.873	22.5	judge_appbos	appbos	2
117.373	1.07	rate_appbos	appbos	2
121.292	29.14	rinse	n/a	n/a
150.441	2	warning_star	n/a	n/a
152.451	7.522	taste_and_swallow_anaman	anaman	4
159.973	22.5	judge_anaman	anaman	4
182.473	1.004	rate_anaman	anaman	4
186.326	29.14	rinse	n/a	n/a
215.459	2	warning_star	n/a	n/a
217.469	7.522	taste_and_swallow_appper	appper	6
224.991	22.5	judge_appper	appper	6
247.491	0.82	rate_appper	appper	6
251.16	25	rinse	n/a	n/a
295.336	2	warning_star	n/a	n/a
297.347	7.522	taste_and_swallow_appper	appper	4
304.87	22.5	judge_appper	appper	4
327.37	1.12	rate_appper	appper	4
331.339	29.14	rinse	n/a	n/a
360.488	2	warning_star	n/a	n/a
362.499	7.522	taste_and_swallow_anaman	anaman	5
370.021	22.5	judge_anaman	anaman	5
392.521	0.401	rate_anaman	anaman	5
395.754	29.14	rinse	n/a	n/a
424.92	2	warning_star	n/a	n/a
426.93	7.522	taste_and_swallow_appbos	appbos	2
434.453	22.5	judge_appbos	appbos	2
456.953	1.071	rate_appbos	appbos	2
460.873	29.14	rinse	n/a	n/a
489.988	2	warning_star	n/a	n/a
491.999	7.522	taste_and_swallow_sinman	sinman	5
499.521	22.5	judge_sinman	sinman	5
522.021	1.004	rate_sinman	sinman	5
525.873	25	rinse	n/a	n/a
570.034	2	warning_star	n/a	n/a
572.044	7.522	taste_and_swallow_anaman	anaman	7
579.566	22.5	judge_anaman	anaman	7
602.066	1.691	rate_anaman	anaman	7
606.605	29.14	rinse	n/a	n/a
635.722	2	warning_star	n/a	n/a
637.732	7.522	taste_and_swallow_sinman	sinman	3
645.254	22.5	judge_sinman	sinman	3
667.754	0.753	rate_sinman	sinman	3
671.339	29.14	rinse	n/a	n/a
700.438	2	warning_star	n/a	n/a
702.449	7.522	taste_and_swallow_appper	appper	5
709.971	22.5	judge_appper	appper	5
732.471	0.753	rate_appper	appper	5
736.073	29.14	rinse	n/a	n/a
765.188	2	warning_star	n/a	n/a
767.199	7.522	taste_and_swallow_appbos	appbos	2
774.721	22.5	judge_appbos	appbos	2
797.221	1.005	rate_appbos	appbos	2
801.057	25	rinse	n/a	n/a
